from,amount
OFYZOBWQROVP2QVDQ744Z3WFXG7GC4BBQ2COJCLDCXMQXOV4DSRCXFG7PY,100200
OFYZOBWQROVP2QVDQ744Z3WFXG7GC4BBQ2COJCLDCXMQXOV4DSRCXFG7PY,100
E6MFQHNVUJ3U5SNLDVJ2W2HR57RDOXIGDYXMKYY3GZ2G33PDP6HUGDWCN4,45300
OZHCTGTD4CA7GBODV66WOC3TQHQBLZUNIXUFFMJ2LNFFZRZSEG257LHG54,223762
N25JVG2OKQJHHR7P6T6QBIJSCKVVXJNT4TPP34UQS4KJ7LNUUYT3HCWMXE,80000
ISDPL7Q23UJWI4XT4QKAUYN26HCIGDVTJPEQW3EHUKXLTH3VZAQ7VIRBWI,5000000
BPZHHL7CRVZCOTBIPZMANR6HRRJXOQFG3HMKP642V2VP6OGJ7U3N6BZ274,84592
KVDAVPZ2MLJEOJ3HYCCHUS47HYMNCAOWISCKWNMUCTKQLIVXXZLZINFH6A,15168528
5K3NXEEZWLQ4PIWU55JMJR2R6YDJ2D5VWJLBGZ4LOF6L2VAYCV2J447ZFY,7061108
GBQQCUP6FK5PTWKJOM3WRFK2RO4HGYTEVNJYVHFSH4Z7MS2GFPMR76TRHQ,547700
HPTM6RHBUQTSPWF456YID3IOEX67LVUHW4ZGZ3UCOPD2QZ6EIRR6I6FC4A,3559400
5WGCFXM7IILRPLVH5S3YZOITQ22J6Z3WX7KZWJPF2P5GWYWPQKNSQJYACA,100
XJNDUV2X27MDLKENF6A3KVK2YXIUPYZPEWKK2VLF37XEERNG6W4EMINWYA,28374100
HXCXBEU3KBRLF5Q5YOWMOE2D6WGBAXMFC4UKECYFENB6DFYJKBI7KO6CKY,50000
KTEPE6PEKTX2SUXY4MDMCUPN3BCGQAAE7KCVGRH2YJ25EFY3J6PSRENVPU,10400000
TQKDMVEDYXUQ5B4KIF3CV2ZQJDPF4S3TPJUEB6UMLX7SJBWYPVSRPJTTQI,3836600
7I4UENINIGX5TYJ6WFR73KLO7XPESIBZKMKXSNPVQ4QGCBJQAVJB6GM2EE,2040000
UKPJBXEDRH5ZFCSSEWOSGZTOAZCB46HKVB22CO5I7SNSFTLMWVDIYA2S7Q,1072459
JWRUCMUFVHTJGO6C3SHH5EGJP62TXL26XYOIMJIH7TL55R3TBBENFOQ2PU,100000000
CBRIDQ57HLYJWXRUR5VQYB5XPOQ6FCAQSPKZCFBEOCLQKF6M5PKY5TTYTY,4172117
A5FQ2XAOZQXVWT2ZPC236HGKENWLFPJPA4GP4CNWFQCUIDDRSVNUP4RXHM,120000000
TVBUZF2WQRSGJSIMMA3MV4UL7FL6IPDF5BQ7N3MDTI6RHKYLPNSACDA3QE,270225000
SE67WSQ4757STCE6OFC7XSVSR6YRNPHHHWGNCWVURFOGFMARR4JYRVJUUI,400
JEY4JCKK344PCD5JZZTYZAAUVTT2IOWUTNJBBEQWNLQG7ZJ7RYJLW5QXRA,2480300
TMJXQ6TJX6F4K4MHD3PHHDJC3LQ5QORQOSZWQKUTD4ZXWQ67DXOW6FI3RQ,10577000
HYMNDEOE23RF56TGSBPOFDSODBMBMUU3B3WHIUBH3S5PZV6O6RN5VJOHVE,280000000
JHYAWJDTEO4ES25H5XD4M3JVSPAVP7GL2R7RK2DIS5PKJNIY44FKTM63HI,15900
76HECYKGLBHNL5QVY6NHDCXTPEM6DTMAIZUQT45XVOVMRDCI2CKS66BUMQ,24036000
L7YH7WPU2RITAFZEOYFGGD7GGR7HNWCEA2E7ORXWMJ4K2LRXASVJLWXKKU,413200
